"","gene_node_idx","gene_node_name","Weight1","node1","Weight2","node2","t2ds_no_t2ds_pvalue","pret2ds_no_t2ds_pvalue"
"35",222,"CFLAR",0.132194691846992,"node_type1",0.133870898325126,"node_type2",0.0231291245195539,0.0187611955554858
"36",230,"CLEC1B",0.220433882217941,"node_type1",0.228000588987179,"node_type2",0.0112745412842247,0.005496917913558
"37",231,"CLEC4D",0.292573362638317,"node_type1",0.29363032297703,"node_type2",0.0083304347293443,0.013231933874338
"38",232,"CLEC4E",0.147296298258502,"node_type1",0.146567537650115,"node_type2",0.0901371561068095,0.0309908519657916
"39",233,"CLEC7A",0.170605666791367,"node_type1",0.170790520796138,"node_type2",0.0194236046308694,0.313109379051738
"40",276,"CTNNA1",0.0632769996053375,"node_type1",0.063310619682536,"node_type2",0.0964537900567162,0.201282109594415
"41",279,"CTNND1",0.352863803305882,"node_type1",0.3524355975625,"node_type2",0.0063052857538576,0.0670608422154787
"42",281,"CTSD",0.50724403395133,"node_type1",0.507243397407999,"node_type2",0.139664512276614,0.497378864983964
"43",282,"CUL1",0.071659718738079,"node_type1",0.0716341393046122,"node_type2",0.0126013067639521,0.0948419054155996
"44",298,"CYCS",0.191399238766649,"node_type1",0.191900593391268,"node_type2",0.0232613752390711,0.0186132473932437
"45",299,"CYLD",0.0955452894529342,"node_type1",0.0959317640665273,"node_type2",0.0015783159127327,0.0156259720764223
"46",313,"DCHS1",0.31817752015098,"node_type1",0.317310830903205,"node_type2",0.218294303656936,0.0242449504078824
"47",317,"DDX3X",0.183020010102941,"node_type1",0.183764719982051,"node_type2",0.0147997352169815,0.0519249713972889
"48",319,"DHX33",0.547941583721585,"node_type1",0.548028496787438,"node_type2",0.264341853721338,0.0166008062989165
"49",320,"DHX58",0.347264939343431,"node_type1",0.346993297875513,"node_type2",0.171485411472971,0.0570746873726001
"50",382,"ERBIN",1,"node_type1",1,"node_type2",0.0139672700050136,0.0573960812152077
"51",391,"EXOC2",0.167007963685644,"node_type1",0.166715813069528,"node_type2",0.311146394916237,0.0312211398483257
"52",392,"EXOC7",0.19567602905,"node_type1",0.195505852442949,"node_type2",0.0394987053047414,0.0090647102257209
"53",395,"FADD",0.0484288851730051,"node_type1",0.0484416829077813,"node_type2",0.17791293713803,0.256493839536576
"54",401,"FAT4",0.40181501145098,"node_type1",0.403577251173077,"node_type2",0.42886297721414,0.39967842615613
"55",405,"FBXW11",0.110266276151229,"node_type1",0.110314801095865,"node_type2",0.0048885571011634,0.0041631384170604
"56",406,"FCER1A",0.0560630460793746,"node_type1",0.0559020670837249,"node_type2",0.0104229672178423,0.0136193474938397
"57",407,"FCER1G",0.0832250002648843,"node_type1",0.0834992683465258,"node_type2",0.0126234261924804,0.486699351549563
"58",437,"FYB1",0.125279424380471,"node_type1",0.125330029450777,"node_type2",0.0371161238365934,0.0354306411772339
"59",438,"FYN",0.0595541529554125,"node_type1",0.0598284540559197,"node_type2",0.231981476638541,0.123148423197889
"60",484,"GRAP2",0.102475017617297,"node_type1",0.102455633581616,"node_type2",0.104176979179463,0.0263144006634672
"61",497,"GSDMD",0.159081331170931,"node_type1",0.160593379338424,"node_type2",0.229799881662215,0.265875106790412
"62",532,"HSPB1",0.23180983102648,"node_type1",0.231851054138182,"node_type2",0.031027718515984,0.329890870815756
"63",535,"ICOS",0.0221186374690699,"node_type1",0.02211979285379,"node_type2",0.0242246034607854,0.194017825895251
"64",538,"IFI16",0.179489966568736,"node_type1",0.178990261369159,"node_type2",0.0108800487232719,0.299638085786354
"65",539,"IFIH1",0.214482338457254,"node_type1",0.21458605788988,"node_type2",0.0207560933314757,0.0026532836541101
"66",544,"IFNK",0.0287913175740791,"node_type1",0.0289527465960031,"node_type2",0.186067972670611,0.180230151887399
"67",550,"IKBKE",0.0376239791054279,"node_type1",0.0376162260452761,"node_type2",0.315029264265824,0.0939708937461003
"68",564,"IL1B",0.258321372286536,"node_type1",0.258125402515076,"node_type2",0.0797265684745273,0.0184174742637734
"69",565,"IL1R1",0.266139295994123,"node_type1",0.266080500732414,"node_type2",0.0149148094904134,0.118791253534292
