"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_MF_DIRECT","phosphoprotein binding","3","142","40","19272","3.46e-2","1.97e-1","10.18","1.00e+0","1.72e-1","3.17e-3","YWHAE,TBK1,PIN1"
"GOTERM_MF_DIRECT","ribonucleoprotein complex binding","3","142","39","19272","3.30e-2","1.95e-1","10.44","1.00e+0","1.70e-1","2.95e-3","IFIH1,ITCH,RNASEL"
"GOTERM_BP_DIRECT","positive regulation of multicellular organismal process","3","142","38","19512","3.08e-2","1.79e-1","10.85","1.00e+0","1.58e-1","2.64e-3","CD4,CD40,LCK"
"UP_SEQ_FEATURE","REPEAT:LRR 16","3","141","40","20669","3.00e-2","7.48e-1","10.99","1.00e+0","7.38e-1","2.55e-3","ERBIN,TLR4,TLR3"
"UP_SEQ_FEATURE","DOMAIN:Ras-associating","3","141","40","20669","3.00e-2","7.48e-1","10.99","1.00e+0","7.38e-1","2.55e-3","AFDN,RGL1,RGL2"
"INTERPRO","RA_dom","3","142","40","20827","3.00e-2","1.96e-1","11.00","1.00e+0","1.84e-1","2.55e-3","AFDN,RGL1,RGL2"
"GOTERM_BP_DIRECT","homeostasis of number of cells","3","142","37","19512","2.93e-2","1.71e-1","11.14","1.00e+0","1.51e-1","2.45e-3","CYLD,LAT,CARD11"
"GOTERM_BP_DIRECT","negative regulation of protein binding","3","142","37","19512","2.93e-2","1.71e-1","11.14","1.00e+0","1.51e-1","2.45e-3","RALB,PIN1,CARD16"
"GOTERM_BP_DIRECT","positive regulation of intrinsic apoptotic signaling pathway","3","142","37","19512","2.93e-2","1.71e-1","11.14","1.00e+0","1.51e-1","2.45e-3","LCK,SIAH1,BID"
"GOTERM_BP_DIRECT","macrophage differentiation","3","142","37","19512","2.93e-2","1.71e-1","11.14","1.00e+0","1.51e-1","2.45e-3","CD4,CASP8,CFLAR"
"GOTERM_BP_DIRECT","intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator","3","142","34","19512","2.50e-2","1.55e-1","12.12","1.00e+0","1.37e-1","1.91e-3","PYCARD,IFI16,BCL3"
"GOTERM_MF_DIRECT","molecular function inhibitor activity","3","142","33","19272","2.42e-2","1.48e-1","12.34","1.00e+0","1.29e-1","1.82e-3","YWHAE,BEX3,TANK"
"GOTERM_BP_DIRECT","leukocyte cell-cell adhesion","3","142","33","19512","2.37e-2","1.48e-1","12.49","1.00e+0","1.31e-1","1.75e-3","ZAP70,CD40LG,SYK"
"UP_SEQ_FEATURE","REPEAT:LRR 17","3","141","35","20669","2.34e-2","6.59e-1","12.56","1.00e+0","6.51e-1","1.73e-3","ERBIN,TLR4,TLR3"
"INTERPRO","Pkinase_C","3","142","35","20827","2.34e-2","1.80e-1","12.57","1.00e+0","1.69e-1","1.73e-3","LATS1,LATS2,PKN2"
"GOTERM_BP_DIRECT","regulation of innate immune response","3","142","32","19512","2.23e-2","1.41e-1","12.88","1.00e+0","1.25e-1","1.60e-3","TKFC,CASP8,DHX58"
"UP_SEQ_FEATURE","SITE:Cleavage; by caspase-3","3","141","34","20669","2.22e-2","6.46e-1","12.93","1.00e+0","6.38e-1","1.59e-3","CDH1,PKN2,STK3"
"GOTERM_BP_DIRECT","vascular endothelial growth factor receptor signaling pathway","3","142","31","19512","2.10e-2","1.37e-1","13.30","1.00e+0","1.21e-1","1.46e-3","MAPKAPK2,HSPB1,FYN"
"INTERPRO","HSP20-like_chaperone","3","142","32","20827","1.98e-2","1.60e-1","13.75","1.00e+0","1.50e-1","1.33e-3","HSPB1,CACYBP,SUGT1"
"GOTERM_BP_DIRECT","negative regulation of extrinsic apoptotic signaling pathway via death domain receptors","3","142","30","19512","1.98e-2","1.33e-1","13.74","1.00e+0","1.18e-1","1.33e-3","DDX3X,CFLAR,BCL2L1"
"GOTERM_BP_DIRECT","positive regulation of protein kinase activity","3","142","30","19512","1.98e-2","1.33e-1","13.74","1.00e+0","1.18e-1","1.33e-3","CD4,TRAF4,LAT"
"GOTERM_BP_DIRECT","natural killer cell activation","3","142","30","19512","1.98e-2","1.33e-1","13.74","1.00e+0","1.18e-1","1.33e-3","CASP8,IFNK,FYN"
"GOTERM_BP_DIRECT","defense response to protozoan","3","142","30","19512","1.98e-2","1.33e-1","13.74","1.00e+0","1.18e-1","1.33e-3","CD40,CLEC7A,BCL3"
"INTERPRO","RASGEF_cat_dom","3","142","31","20827","1.86e-2","1.56e-1","14.19","1.00e+0","1.46e-1","1.21e-3","RAPGEF1,RGL1,RGL2"
